"","Districtcode","Wardcode","Wardname","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","LifeExpectancy","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"57"," 00BE","00BEGC","Southwark - Brunswick Park",13174,100.1,7,46.6,10.1,15.2,0.5,84.75,19.6599362380446,7.1,53.3,40.6,10.7
"58"," 00BE","00BEGQ","Southwark - Peckham",14720,126.2,7,59.4,14.4,19.6,0.5,76.8,24.2663043478261,6.2,70.8,47.6,12.3
"59"," 00AQ","00AQGH","Harrow - Kenton East",11138,45.6,7.2,14.8,3.7,23.4,1.2,82.05,18.737654875202,12.4,73.4,57.1,24.7
"60"," 00BK","00BKGA","Westminster - Abbey Road",11250,56.8,7.2,9.1,2.4,10,0.7,83.3,17.4577777777778,14,35.4,56.9,20.4
"61"," 00AG","00AGGG","Camden - Cantelowes",11925,110.4,7.4,40.3,6.2,13.9,0.4,79.85,16.1844863731656,9.1,31.9,35.9,12.6
"62"," 00AT","00ATGT","Hounslow - Turnham Green",11448,117.8,7.4,14.7,2.7,9.9,0.8,80.85,14.9807826694619,12.9,23.2,39.9,12.8
"63"," 00AG","00AGGP","Camden - Holborn and Covent Garden",13023,480.3,7.5,42.5,6,12.9,0.3,79.2,NA,NA,NA,NA,NA
"64"," 00BK","00BKGE","Westminster - Church Street",11760,111,7.6,55.8,12.4,28.1,0.3,74.9,23.1632653061224,11.4,61.7,52.7,27.2
"65"," 00AH","00AHGG","Croydon - Bensham Manor",16201,68.8,7.7,11.9,8.5,17.9,0.8,82.6,23.0603049194494,9.8,73.5,45.3,12.9
"66"," 00AQ","00AQGB","Harrow - Greenhill",12420,151.9,7.7,11.4,5.3,11.7,0.8,79.25,16.8276972624799,10.4,58.5,52.7,20.7
"67"," 00BC","00BCGE","Redbridge - Clementswood",14666,183.3,7.7,10.7,9.1,18.6,0.8,78.95,26.6398472657848,7.4,84.2,55.6,25.1
"68"," 00BF","00BFGP","Sutton - Sutton South",9599,43.5,8.1,11.9,3.5,15.7,0.9,79.45,14.8765496405876,17.5,24.4,29.4,9.7
"69"," 00AU","00AUGK","Islington - St. George's",12400,93.2,8.1,38,6.9,16.5,0.5,79.15,NA,NA,NA,NA,NA
"70"," 00AR","00ARGR","Havering - Romford Town",15921,225.4,8.1,13,5,21,0.9,78.7,17.6747691727907,14,16.4,16.6,5.6
"71"," 00AG","00AGGM","Camden - Haverstock",12364,118.8,8.2,49.2,7.7,18.6,0.4,79.05,19.4920737625364,11.1,37.1,36.3,10.7
"72"," 00AQ","00AQGK","Harrow - Marlborough",12259,83.2,8.3,11.1,6.1,17.1,0.9,81.6,20.6949995921364,10.6,62.9,51.6,20.2
"73"," 00AN","00ANGH","Hammersmith and Fulham - Munster",11004,75.5,8.5,18.1,2.8,9.7,0.7,84.9,NA,NA,NA,NA,NA
"74"," 00AW","00AWGG","Kensington and Chelsea - Hans Town",8792,108.6,8.5,16.4,2.2,9.2,0.6,95.2,NA,NA,NA,NA,NA
"75"," 00BK","00BKGJ","Westminster - Lancaster Gate",13195,172.3,8.6,10.5,3.4,7.1,0.4,90.9,11.5953012504737,8.4,33.7,64.6,32.2
"76"," 00AN","00ANGC","Hammersmith and Fulham - Avonmore and Brook Green",12216,81.2,8.8,21.9,4.7,9.3,0.5,81.05,NA,NA,NA,NA,NA
"77"," 00AG","00AGGX","Camden - West Hampstead",12060,97.6,8.8,22.2,4.6,9.5,0.5,80.45,12.5456053067993,8.4,30.5,43.3,13.9
"78"," 00BK","00BKGG","Westminster - Hyde Park",12462,155.4,8.9,9.8,2.9,11.1,0.5,89.6,12.7427379232868,9.9,44.7,64.2,34.1
"79"," 00AE","00AEGQ","Brent - Harlesden",17162,189.6,8.9,44,23.4,24.1,0.5,76.25,25.8652837664608,8,67,52.9,23
"80"," 00AW","00AWGR","Kensington and Chelsea - Stanley",8187,134.7,9.1,13.1,2,7.3,0.7,82,NA,NA,NA,NA,NA
"81"," 00AD","00ADGE","Bexley - Brampton",10546,31.7,9.2,4.4,2.7,22.9,1.3,82.65,17.2482457803907,20.9,13.1,10.4,1.6
"82"," 00AG","00AGGE","Camden - Bloomsbury",10892,438.7,9.2,28.6,4.2,7.8,0.2,79.4,7.13367609254499,10,40.4,51.2,19.5
"83"," 00AW","00AWGK","Kensington and Chelsea - Notting Barns",9537,100.5,9.3,55.8,9.3,19.4,0.5,81.8,NA,NA,NA,NA,NA
"84"," 00AU","00AUGB","Islington - Clerkenwell",11490,195.4,9.3,42.3,5.6,15.1,0.4,81.25,12.236727589208,8.2,29.3,38.5,12.6
"85"," 00AN","00ANGG","Hammersmith and Fulham - Hammersmith Broadway",11923,230.4,9.4,39.9,5.5,15,0.5,77.95,NA,NA,NA,NA,NA
"86"," 00AD","00ADGC","Bexley - Blackfen and Lamorbey",10616,25.8,9.5,3.8,2.1,22.4,1.3,84.4,NA,NA,NA,NA,NA
"87"," 00BJ","00BJGH","Wandsworth - Nightingale",14679,63.7,9.5,13.1,2.7,8.9,0.7,77.25,16.2068260780707,9.5,21.4,27.7,6.7
